"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"FARNELL";"HEIGHT";"MANUFACTURER";"POWER";"PRICE_PER";"STOCK";"TEMP_CO";"TME";"TOLERANCE";"VALUE";"VOLTAGE";
"37";"0.1uF 10V";"0402ZC104KAT2A";"0402";"C9, C10, C11, C15, C16, C17, C23, C25, C27, C29, C31, C35, C60, C62, C67, C72, C79, C81, C86, C110, C134, C135, C136, C158, C165, C167, C236, C237, C238, C239, C240, C241, C242, C243, C244, C245, C261";"100000 10V 0.1µF ±10% X7R 0402";"478-7891-1-ND";"";"-";"AVX Corporation";"";"0.07000";"639";"X7R";"";"±10%";"0.1uF 10V";"10V";
"35";"0.1uF 10V";"0402ZD104KAT2A";"0402";"C2, C4, C6, C171, C173, C175, C177, C179, C183, C185, C187, C189, C191, C193, C195, C197, C199, C203, C205, C207, C209, C211, C215, C216, C217, C218, C220, C221, C224, C226, C228, C230, C232, C234, C246";"100000 10V 0.1µF ±10% X5R 0402";"478-1129-1-ND";"";"-";"AVX Corporation";"";"0.07000";"7866945";"X5R";"";"±10%";"0.1uF 10V";"10V";
"7";"0.1uF 10V";"0603ZC104KAT2A";"0603";"C34, C47, C48, C50, C54, C137, C265";"100000 10V 0.1µF ±10% X7R 0603";"478-7939-1-ND";"";"-";"AVX Corporation";"";"0.09000";"914";"X7R";"";"±10%";"0.1uF 10V";"10V";
"2";"0.1uF 10V";"C0402C104K8RAC7411";"0402";"C162, C163";"100000 10V 0.1µF ±10% X7R 0402";"399-C0402C104K8RAC7411CT-ND";"";"-";"KEMET";"";"0.07000";"25280";"X7R";"";"±10%";"0.1uF 10V";"10V";
"15";"0.1uF 16V";"0402YC104KAT2A";"0402";"C74, C75, C76, C77, C82, C83, C85, C116, C120, C124, C129, C133, C138, C139, C140";"100000 16V 0.1µF ±10% X7R 0402";"478-7888-1-ND";"";"-";"AVX Corporation";"";"0.07000";"386465";"X7R";"";"±10%";"0.1uF 16V";"16V";
"1";"0.1uF 16V";"C0603C104J4RAC7013";"0603";"C102";"100000 16V 0.1µF ±5% X7R 0603";"399-17571-1-ND";"";"-";"KEMET";"";"0.14000";"20437";"X7R";"";"±5%";"0.1uF 16V";"16V";
"1";"0.1uF 25V";"04023C104KAT2A";"0402";"C257";"100000 25V 0.1µF ±10% X7R 0402";"478-7868-1-ND";"";"-";"AVX Corporation";"";"0.07000";"973587";"X7R";"";"±10%";"0.1uF 25V";"25V";
"1";"0.22uF 16V";"0402YD224KAT2A";"0402";"C121";"220000 16V 0.22µF ±10% X5R 0402";"478-0402YD224KAT2ACT-ND";"";"-";"AVX Corporation";"";"0.12000";"11388";"X5R";"";"±10%";"0.22uF 16V";"16V";
"1";"0R";"CRCW06030000Z0EA";"0603";"R119";"0 0R 0603 0.1W thick film resistor";"541-0.0GCT-ND";"";"0.5";"";"";"0.08";"";"";"";"";"0R";"";
"2";"0R01";"CRF1206-FZ-R010ELF";"1206";"R29, R40";"0.01 0.01R 1206 1W 1% current sense resistor.";"CRF1206-FZ-R010ELFCT-ND";"";"0.65";"";"";"0.42";"";"";"";"";"0R01";"";
"1";"0R25 1W";"WSLT2010R2500FEB18";"2010";"R41";"0.25 0R25 2010 1W 1% current sense resistor";"WSLTA-.250CT-ND";"";"";"";"";"0.75";"";"";"";"";"0R25 1W";"";
"1";"1.0M";"ERJ3EKF1004V";"0603";"R93";"1000000 1.0M 0603 0.1W 1% thick film resistor.";"P1.00MHCT-ND";"";"";"";"";"0.10000";"";"";"";"";"1.0M";"";
"6";"1.0k";"ERJ-2RKF1001X";"0402";"R140, R141, R142, R145, R146, R152";"1000 1k0 0402 0.1W 1% thick film resistor.";"P1.00KLCT-ND";"";"0.4";"";"";"0.07";"";"";"";"";"1.0k";"";
